ID,question,factor,1,2,3,4,5,score
1,Warms up quickly to others,Factor I,0,0,0,0,0,0
2,Prefers to be alone,Factor I,0,0,0,0,0,0
3,Is always on the go,Factor I,0,0,0,0,0,0
4,Can talk others into doing things,Factor I,0,0,0,0,0,0
5,Seeks quiet,Factor I,0,0,0,0,0,0
6,Is assertive and takes charge,Factor I,0,0,0,0,0,0
7,Holds back from expressing my opinions,Factor I,0,0,0,0,0,0
8,Enjoys being part of a group,Factor I,0,0,0,0,0,0
9,Lets things proceed at their own pace,Factor I,0,0,0,0,0,0
10,Often feels blue,Factor II,0,0,0,0,0,0
11,Is not easily bothered by things,Factor II,0,0,0,0,0,0
12,Becomes stressed out easily,Factor II,0,0,0,0,0,0
13,Becomes overwhelmed by emotions,Factor II,0,0,0,0,0,0
14,"Is calm, even in tense situations",Factor II,0,0,0,0,0,0
15,Is afraid that I will do the wrong thing,Factor II,0,0,0,0,0,0
16,Keeps my cool,Factor II,0,0,0,0,0,0
17,Does things I later regret,Factor II,0,0,0,0,0,0
18,Does not have a good imagination,Factor III,0,0,0,0,0,0
19,Loves to read challenging material,Factor III,0,0,0,0,0,0
20,Is interested in many things,Factor III,0,0,0,0,0,0
21,Tries to understand myself,Factor III,0,0,0,0,0,0
22,Is not interested in abstract ideas,Factor III,0,0,0,0,0,0
23,Believes in the importance of art,Factor III,0,0,0,0,0,0
24,Prefers to stick with things that I know,Factor III,0,0,0,0,0,0
25,Tends to vote for conservative political candidates,Factor III,0,0,0,0,0,0
26,Suspects hidden motives in others,Factor IV,0,0,0,0,0,0
27,Trusts others,Factor IV,0,0,0,0,0,0
28,Contradicts others,Factor IV,0,0,0,0,0,0
29,Values cooperation over competition,Factor IV,0,0,0,0,0,0
30,Is easy to satisfy,Factor IV,0,0,0,0,0,0
31,Thinks highly of myself,Factor IV,0,0,0,0,0,0
32,Is concerned about others,Factor IV,0,0,0,0,0,0
33,Puts people under pressure,Factor IV,0,0,0,0,0,0
34,Completes tasks successfully,Factor V,0,0,0,0,0,0
35,Often makes last‐minute plans,Factor V,0,0,0,0,0,0
36,Excels in what I do,Factor V,0,0,0,0,0,0
37,Often forgets to put things back in their proper place,Factor V,0,0,0,0,0,0
38,Postpones decisions,Factor V,0,0,0,0,0,0
39,Works hard,Factor V,0,0,0,0,0,0
40,Pays my bills on time,Factor V,0,0,0,0,0,0
41,Doesn’t see the consequences of things,Factor V,0,0,0,0,0,0
