ID,question,factor,1,2,3,4,5,choice,factor
1,Warms up quickly to others,Factor I,0,0,0,0,0,0,Extraversion
2,Prefers to be alone,Factor I,0,0,0,0,0,0,Extraversion
3,Is always on the go,Factor I,0,0,0,0,0,0,Extraversion
4,Can talk others into doing things,Factor I,0,0,0,0,0,0,Extraversion
5,Seeks quiet,Factor I,0,0,0,0,0,0,Extraversion
6,Is assertive and takes charge,Factor I,0,0,0,0,0,0,Extraversion
7,Holds back from expressing my opinions,Factor I,0,0,0,0,0,0,Extraversion
8,Enjoys being part of a group,Factor I,0,0,0,0,0,0,Extraversion
9,Lets things proceed at their own pace,Factor I,0,0,0,0,0,0,Extraversion
10,Often feels blue,Factor II,0,0,0,0,0,0,Neuroticism
11,Is not easily bothered by things,Factor II,0,0,0,0,0,0,Neuroticism
12,Becomes stressed out easily,Factor II,0,0,0,0,0,0,Neuroticism
13,Becomes overwhelmed by emotions,Factor II,0,0,0,0,0,0,Neuroticism
14,"Is calm, even in tense situations",Factor II,0,0,0,0,0,0,Neuroticism
15,Is afraid that I will do the wrong thing,Factor II,0,0,0,0,0,0,Neuroticism
16,Keeps my cool,Factor II,0,0,0,0,0,0,Neuroticism
17,Does things I later regret,Factor II,0,0,0,0,0,0,Neuroticism
18,Does not have a good imagination,Factor III,0,0,0,0,0,0,Openness
19,Loves to read challenging material,Factor III,0,0,0,0,0,0,Openness
20,Is interested in many things,Factor III,0,0,0,0,0,0,Openness
21,Tries to understand myself,Factor III,0,0,0,0,0,0,Openness
22,Is not interested in abstract ideas,Factor III,0,0,0,0,0,0,Openness
23,Believes in the importance of art,Factor III,0,0,0,0,0,0,Openness
24,Prefers to stick with things that I know,Factor III,0,0,0,0,0,0,Openness
25,Tends to vote for conservative political candidates,Factor III,0,0,0,0,0,0,Openness
26,Suspects hidden motives in others,Factor IV,0,0,0,0,0,0,Agreeableness
27,Trusts others,Factor IV,0,0,0,0,0,0,Agreeableness
28,Contradicts others,Factor IV,0,0,0,0,0,0,Agreeableness
29,Values cooperation over competition,Factor IV,0,0,0,0,0,0,Agreeableness
30,Is easy to satisfy,Factor IV,0,0,0,0,0,0,Agreeableness
31,Thinks highly of myself,Factor IV,0,0,0,0,0,0,Agreeableness
32,Is concerned about others,Factor IV,0,0,0,0,0,0,Agreeableness
33,Puts people under pressure,Factor IV,0,0,0,0,0,0,Agreeableness
34,Completes tasks successfully,Factor V,0,0,0,0,0,0,Conscientiousness
35,Often makes last‐minute plans,Factor V,0,0,0,0,0,0,Conscientiousness
36,Excels in what I do,Factor V,0,0,0,0,0,0,Conscientiousness
37,Often forgets to put things back in their proper place,Factor V,0,0,0,0,0,0,Conscientiousness
38,Postpones decisions,Factor V,0,0,0,0,0,0,Conscientiousness
39,Works hard,Factor V,0,0,0,0,0,0,Conscientiousness
40,Pays my bills on time,Factor V,0,0,0,0,0,0,Conscientiousness
41,Doesn’t see the consequences of things,Factor V,0,0,0,0,0,0,Conscientiousness
